State/Territory,Suburb/Locality,Postcode,MMM classification,,
Australian Capital Territory,TENNENT DISTRICT,2620,5,,
Australian Capital Territory,THARWA,2620,2,,
Australian Capital Territory,THEODORE (ACT),2905,1,,
Australian Capital Territory,TORRENS,2607,1,,
Australian Capital Territory,TUGGERANONG DISTRICT,2900,2,,
Australian Capital Territory,TURNER,2612,1,,
Australian Capital Territory,URIARRA VILLAGE,2611,2,,
Australian Capital Territory,WANNIASSA,2903,1,,
Australian Capital Territory,WARAMANGA,2611,1,,
Australian Capital Territory,WATSON,2602,1,,
Australian Capital Territory,WEETANGERA,2614,1,,
Australian Capital Territory,WESTON (ACT),2611,1,,
Australian Capital Territory,WESTON CREEK DISTRICT,2611,2,,
Australian Capital Territory,WODEN VALLEY DISTRICT,2606,1,,
Australian Capital Territory,WRECK BAY,2540,5,,
Australian Capital Territory,WRIGHT,2611,2,,
Australian Capital Territory,YARRALUMLA,2600,1,,
New South Wales,AARONS PASS,2850,5,,
New South Wales,ABBOTSBURY,2176,1,,
New South Wales,ABBOTSFORD (NSW),2046,1,,
New South Wales,ABERCROMBIE,2795,3,,
New South Wales,ABERCROMBIE RIVER,2795,5,,
New South Wales,ABERDARE,2325,3,,
New South Wales,ABERDEEN (NSW),2336,4,,
New South Wales,ABERFOYLE,2350,5,,
New South Wales,ABERGLASSLYN,2320,1,,
New South Wales,ABERMAIN,2326,1,,
New South Wales,ABERNETHY,2325,3,,
New South Wales,ABINGTON (NSW),2350,5,,
New South Wales,ACACIA CREEK,2476,5,,
New South Wales,ACACIA GARDENS,2763,1,,
New South Wales,ADAMINABY,2629,5,,
New South Wales,ADAMSTOWN,2289,1,,
New South Wales,ADAMSTOWN HEIGHTS,2289,1,,
New South Wales,ADELONG,2729,5,,
New South Wales,ADJUNGBILLY,2727,5,,
New South Wales,AFTERLEE,2474,5,,
New South Wales,AGNES BANKS,2753,1,,
New South Wales,AIRDS,2560,1,,
New South Wales,AKOLELE,2546,5,,
New South Wales,ALBERT,2873,6,,
New South Wales,ALBION PARK,2527,1,,
New South Wales,ALBION PARK RAIL,2527,1,,
New South Wales,ALBURY,2640,2,,
New South Wales,ALDAVILLA,2440,4,,
New South Wales,ALECTOWN,2870,5,,
New South Wales,ALEXANDRIA,2015,1,,
