LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
55740,Mosman Park,2023,10032,1597,15.9,1375,13.7,1283,12.8,1284,12.8,1368,13.6,1202,12,1923,19.2
55810,Mount Magnet,2020,643,123,19.1,55,8.6,81,12.6,94,14.6,95,14.8,96,14.9,99,15.4
55810,Mount Magnet,2021,699,137,19.6,59,8.4,74,10.6,104,14.9,115,16.5,113,16.2,97,13.9
55810,Mount Magnet,2022,701,135,19.3,56,8,75,10.7,104,14.8,121,17.3,107,15.3,103,14.7
55810,Mount Magnet,2023,701,139,19.8,58,8.3,71,10.1,104,14.8,110,15.7,115,16.4,104,14.8
55880,Mount Marshall,2020,479,89,18.6,38,7.9,49,10.2,70,14.6,76,15.9,85,17.7,72,15
55880,Mount Marshall,2021,467,84,18,28,6,45,9.6,71,15.2,71,15.2,96,20.6,72,15.4
55880,Mount Marshall,2022,463,79,17.1,27,5.8,48,10.4,68,14.7,77,16.6,87,18.8,77,16.6
55880,Mount Marshall,2023,461,85,18.4,10,2.2,56,12.1,71,15.4,72,15.6,84,18.2,83,18
55950,Mukinbudin,2020,580,119,20.5,43,7.4,68,11.7,66,11.4,73,12.6,88,15.2,123,21.2
55950,Mukinbudin,2021,593,111,18.7,54,9.1,59,9.9,63,10.6,83,14,92,15.5,131,22.1
55950,Mukinbudin,2022,587,110,18.7,50,8.5,55,9.4,67,11.4,86,14.7,80,13.6,139,23.7
55950,Mukinbudin,2023,600,109,18.2,61,10.2,60,10,70,11.7,87,14.5,69,11.5,144,24
56090,Mundaring,2020,40360,6888,17.1,4631,11.5,4613,11.4,5071,12.6,5877,14.6,5816,14.4,7464,18.5
56090,Mundaring,2021,40539,6833,16.9,4534,11.2,4501,11.1,5155,12.7,5825,14.4,5891,14.5,7800,19.2
56090,Mundaring,2022,40517,6804,16.8,4586,11.3,4238,10.5,5172,12.8,5735,14.2,5887,14.5,8095,20
56090,Mundaring,2023,41421,6861,16.6,4712,11.4,4391,10.6,5395,13,5638,13.6,6038,14.6,8386,20.2
56160,Murchison,2020,117,25,21.4,8,6.8,18,15.4,15,12.8,24,20.5,19,16.2,8,6.8
56160,Murchison,2021,108,28,25.9,4,3.7,14,13,16,14.8,21,19.4,18,16.7,7,6.5
56160,Murchison,2022,108,25,23.1,7,6.5,15,13.9,15,13.9,21,19.4,17,15.7,8,7.4
56160,Murchison,2023,106,21,19.8,10,9.4,14,13.2,13,12.3,18,17,18,17,12,11.3
56230,Murray,2020,18274,3406,18.6,1931,10.6,1875,10.3,2023,11.1,2313,12.7,2520,13.8,4206,23
56230,Murray,2021,18639,3436,18.4,1956,10.5,1862,10,2086,11.2,2355,12.6,2552,13.7,4392,23.6
56230,Murray,2022,19116,3433,18,2091,10.9,1856,9.7,2170,11.4,2360,12.3,2610,13.7,4596,24
56230,Murray,2023,19823,3518,17.7,2185,11,1898,9.6,2264,11.4,2423,12.2,2669,13.5,4866,24.5
