LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
58330,Toodyay,2022,4814,682,14.2,398,8.3,358,7.4,450,9.3,630,13.1,997,20.7,1299,27
58330,Toodyay,2023,4954,715,14.4,446,9,353,7.1,485,9.8,602,12.2,1000,20.2,1353,27.3
58400,Trayning,2020,317,36,11.4,22,6.9,33,10.4,25,7.9,46,14.5,62,19.6,93,29.3
58400,Trayning,2021,307,31,10.1,28,9.1,32,10.4,15,4.9,41,13.4,65,21.2,95,30.9
58400,Trayning,2022,304,31,10.2,25,8.2,36,11.8,15,4.9,37,12.2,64,21.1,96,31.6
58400,Trayning,2023,303,27,8.9,27,8.9,41,13.5,14,4.6,38,12.5,67,22.1,89,29.4
58470,Upper Gascoyne,2020,201,54,26.9,15,7.5,41,20.4,19,9.5,31,15.4,27,13.4,14,7
58470,Upper Gascoyne,2021,180,45,25,10,5.6,30,16.7,25,13.9,26,14.4,27,15,17,9.4
58470,Upper Gascoyne,2022,188,42,22.3,13,6.9,32,17,25,13.3,24,12.8,29,15.4,23,12.2
58470,Upper Gascoyne,2023,201,44,21.9,14,7,40,19.9,26,12.9,23,11.4,31,15.4,23,11.4
58510,Victoria Park,2020,38260,5357,14,4972,13,8212,21.5,5980,15.6,4418,11.5,3819,10,5502,14.4
58510,Victoria Park,2021,38296,5357,14,4770,12.5,8123,21.2,6178,16.1,4465,11.7,3805,9.9,5598,14.6
58510,Victoria Park,2022,38756,5340,13.8,4819,12.4,8338,21.5,6313,16.3,4444,11.5,3873,10,5629,14.5
58510,Victoria Park,2023,40782,5456,13.4,5217,12.8,9324,22.9,6734,16.5,4457,10.9,3889,9.5,5705,14
58540,Victoria Plains,2020,847,149,17.6,76,9,89,10.5,106,12.5,124,14.6,146,17.2,157,18.5
58540,Victoria Plains,2021,832,146,17.5,69,8.3,82,9.9,100,12,110,13.2,161,19.4,164,19.7
58540,Victoria Plains,2022,824,140,17,76,9.2,75,9.1,102,12.4,99,12,148,18,184,22.3
58540,Victoria Plains,2023,824,145,17.6,71,8.6,76,9.2,101,12.3,102,12.4,141,17.1,188,22.8
58570,Vincent,2020,37717,5473,14.5,4082,10.8,8844,23.4,6316,16.7,4784,12.7,3902,10.3,4316,11.4
58570,Vincent,2021,37833,5463,14.4,4044,10.7,8701,23,6498,17.2,4779,12.6,3941,10.4,4407,11.6
58570,Vincent,2022,38504,5568,14.5,4087,10.6,8834,22.9,6751,17.5,4761,12.4,3942,10.2,4561,11.8
58570,Vincent,2023,40125,5563,13.9,4262,10.6,9638,24,7134,17.8,4854,12.1,4010,10,4664,11.6
58610,Wagin,2020,1781,303,17,151,8.5,158,8.9,181,10.2,232,13,299,16.8,457,25.7
58610,Wagin,2021,1802,310,17.2,145,8,170,9.4,177,9.8,230,12.8,285,15.8,485,26.9
58610,Wagin,2022,1809,320,17.7,160,8.8,163,9,173,9.6,215,11.9,287,15.9,491,27.1
58610,Wagin,2023,1816,323,17.8,162,8.9,171,9.4,175,9.6,216,11.9,267,14.7,502,27.6
58680,Wandering,2020,520,87,16.7,50,9.6,50,9.6,58,11.2,88,16.9,77,14.8,110,21.2
58680,Wandering,2021,551,80,14.5,50,9.1,47,8.5,61,11.1,98,17.8,90,16.3,125,22.7
58680,Wandering,2022,548,78,14.2,52,9.5,43,7.8,48,8.8,95,17.3,97,17.7,135,24.6
58680,Wandering,2023,545,87,16,41,7.5,41,7.5,46,8.4,98,18,99,18.2,133,24.4
58760,Wanneroo,2020,212823,47793,22.5,28250,13.3,30959,14.5,31294,14.7,29047,13.6,21373,10,24107,11.3
58760,Wanneroo,2021,216422,48143,22.2,28382,13.1,30625,14.2,32048,14.8,29567,13.7,22315,10.3,25342,11.7
58760,Wanneroo,2022,221257,48376,21.9,29050,13.1,30786,13.9,33274,15,29962,13.5,23171,10.5,26638,12
58760,Wanneroo,2023,229438,48786,21.3,30651,13.4,32678,14.2,34717,15.1,30533,13.3,24123,10.5,27950,12.2
58820,Waroona,2020,4314,735,17,448,10.4,382,8.9,490,11.4,611,14.2,675,15.6,973,22.6
58820,Waroona,2021,4355,741,17,436,10,366,8.4,501,11.5,603,13.8,679,15.6,1029,23.6
58820,Waroona,2022,4401,738,16.8,446,10.1,351,8,525,11.9,578,13.1,728,16.5,1035,23.5
58820,Waroona,2023,4457,741,16.6,470,10.5,352,7.9,516,11.6,562,12.6,742,16.6,1074,24.1
58890,West Arthur,2020,786,134,17,58,7.4,65,8.3,104,13.2,121,15.4,147,18.7,157,20
58890,West Arthur,2021,795,126,15.8,56,7,66,8.3,99,12.5,123,15.5,157,19.7,168,21.1
58890,West Arthur,2022,797,115,14.4,53,6.6,83,10.4,89,11.2,121,15.2,152,19.1,184,23.1
58890,West Arthur,2023,787,117,14.9,54,6.9,77,9.8,90,11.4,113,14.4,144,18.3,192,24.4
59030,Westonia,2020,268,39,14.6,11,4.1,42,15.7,46,17.2,28,10.4,43,16,59,22
59030,Westonia,2021,255,40,15.7,11,4.3,36,14.1,35,13.7,26,10.2,42,16.5,65,25.5
59030,Westonia,2022,252,42,16.7,9,3.6,37,14.7,34,13.5,23,9.1,40,15.9,67,26.6
59030,Westonia,2023,244,38,15.6,11,4.5,31,12.7,30,12.3,29,11.9,32,13.1,73,29.9
59100,Wickepin,2020,719,163,22.7,39,5.4,86,12,68,9.5,102,14.2,112,15.6,149,20.7
59100,Wickepin,2021,712,158,22.2,47,6.6,81,11.4,67,9.4,88,12.4,120,16.9,151,21.2
59100,Wickepin,2022,706,157,22.2,54,7.6,86,12.2,76,10.8,71,10.1,114,16.1,148,21
59100,Wickepin,2023,701,152,21.7,50,7.1,88,12.6,76,10.8,75,10.7,113,16.1,147,21
59170,Williams,2020,1035,238,23,62,6,116,11.2,144,13.9,119,11.5,149,14.4,207,20
59170,Williams,2021,1050,233,22.2,71,6.8,120,11.4,151,14.4,119,11.3,154,14.7,202,19.2
59170,Williams,2022,1053,240,22.8,84,8,107,10.2,147,14,110,10.4,155,14.7,210,19.9
59170,Williams,2023,1060,241,22.7,90,8.5,105,9.9,136,12.8,106,10,143,13.5,239,22.5
59250,Wiluna,2020,587,92,15.7,72,12.3,131,22.3,108,18.4,85,14.5,48,8.2,51,8.7
59250,Wiluna,2021,570,92,16.1,75,13.2,123,21.6,99,17.4,87,15.3,44,7.7,50,8.8
59250,Wiluna,2022,572,75,13.1,78,13.6,118,20.6,107,18.7,80,14,61,10.7,53,9.3
59250,Wiluna,2023,568,75,13.2,71,12.5,112,19.7,109,19.2,76,13.4,73,12.9,52,9.2
59310,Wongan-Ballidu,2020,1341,266,19.8,98,7.3,155,11.6,179,13.3,158,11.8,213,15.9,272,20.3
59310,Wongan-Ballidu,2021,1336,259,19.4,105,7.9,148,11.1,169,12.6,152,11.4,201,15,302,22.6
59310,Wongan-Ballidu,2022,1340,272,20.3,112,8.4,121,9,176,13.1,162,12.1,196,14.6,301,22.5
59310,Wongan-Ballidu,2023,1336,263,19.7,121,9.1,111,8.3,171,12.8,161,12.1,195,14.6,314,23.5
59320,Woodanilling,2020,461,94,20.4,36,7.8,50,10.8,53,11.5,54,11.7,80,17.4,94,20.4
59320,Woodanilling,2021,469,99,21.1,36,7.7,51,10.9,56,11.9,53,11.3,81,17.3,93,19.8
59320,Woodanilling,2022,470,94,20,35,7.4,55,11.7,52,11.1,51,10.9,83,17.7,100,21.3
59320,Woodanilling,2023,479,102,21.3,39,8.1,58,12.1,48,10,46,9.6,82,17.1,104,21.7
59330,Wyalkatchem,2020,492,65,13.2,33,6.7,53,10.8,43,8.7,72,14.6,86,17.5,140,28.5
59330,Wyalkatchem,2021,484,65,13.4,31,6.4,55,11.4,47,9.7,65,13.4,75,15.5,146,30.2
59330,Wyalkatchem,2022,485,56,11.5,30,6.2,65,13.4,59,12.2,52,10.7,83,17.1,140,28.9
59330,Wyalkatchem,2023,491,53,10.8,40,8.1,66,13.4,61,12.4,52,10.6,79,16.1,140,28.5
59340,Wyndham-East Kimberley,2020,7904,1848,23.4,975,12.3,1382,17.5,1160,14.7,1074,13.6,900,11.4,565,7.1
59340,Wyndham-East Kimberley,2021,8050,1903,23.6,936,11.6,1424,17.7,1188,14.8,1093,13.6,910,11.3,596,7.4
59340,Wyndham-East Kimberley,2022,8064,1908,23.7,913,11.3,1447,17.9,1204,14.9,1043,12.9,905,11.2,644,8
59340,Wyndham-East Kimberley,2023,8209,1896,23.1,944,11.5,1487,18.1,1265,15.4,1016,12.4,917,11.2,684,8.3
59350,Yalgoo,2020,358,33,9.2,42,11.7,101,28.2,51,14.2,59,16.5,43,12,29,8.1
59350,Yalgoo,2021,364,29,8,44,12.1,111,30.5,55,15.1,57,15.7,34,9.3,34,9.3
59350,Yalgoo,2022,365,27,7.4,35,9.6,109,29.9,66,18.1,47,12.9,43,11.8,38,10.4
59350,Yalgoo,2023,357,25,7,36,10.1,97,27.2,73,20.4,40,11.2,39,10.9,47,13.2
59360,Yilgarn,2020,1208,135,11.2,68,5.6,184,15.2,148,12.3,252,20.9,220,18.2,201,16.6
59360,Yilgarn,2021,1205,128,10.6,66,5.5,187,15.5,164,13.6,239,19.8,217,18,204,16.9
59360,Yilgarn,2022,1198,145,12.1,74,6.2,173,14.4,156,13,221,18.4,222,18.5,207,17.3
59360,Yilgarn,2023,1198,154,12.9,69,5.8,159,13.3,165,13.8,204,17,230,19.2,217,18.1
59370,York,2020,3567,536,15,234,6.6,256,7.2,341,9.6,432,12.1,672,18.8,1096,30.7
59370,York,2021,3553,521,14.7,228,6.4,257,7.2,346,9.7,398,11.2,646,18.2,1157,32.6
59370,York,2022,3567,531,14.9,238,6.7,222,6.2,347,9.7,380,10.7,661,18.5,1188,33.3
59370,York,2023,3602,544,15.1,257,7.1,217,6,361,10,385,10.7,660,18.3,1178,32.7
